,lookback_4_top_3
2021-04-05,0.005436356722278567
2021-04-12,0.011191536052141633
2021-04-19,-0.011117504017911499
2021-04-26,0.014254793342068833
2021-05-03,0.04016690604815933
2021-05-10,-0.012899293143340299
2021-05-17,-0.010413205890641633
2021-05-24,0.0124403644852956
2021-05-31,0.004622650988806033
2021-06-07,-0.005454887907287866
2021-06-14,-0.022416922853871733
2021-06-21,0.046026007859745866
2021-06-28,0.0073793328809029675
2021-07-05,-0.010309647416325498
2021-07-12,-0.0155246364961089
2021-07-19,0.0100461180834012
2021-07-26,0.0032016624046155664
2021-08-02,0.014112056723057135
2021-08-09,0.006746211712838634
2021-08-16,-0.03873289255022947
2021-08-23,0.04434738099269133
2021-08-30,-0.009743836799246166
2021-09-06,-0.012526871356891768
2021-09-13,0.0128769056370197
2021-09-20,0.018992250072853666
