Date,XLB,XLC,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2019-02-25,48.173641204833984,43.59782028198242,23.5390682220459,68.4882583618164,67.06053924560547,45.695648193359375,46.57746887207031,83.18775177001953,104.51435089111328
2019-03-04,47.954593658447266,43.494205474853516,22.90406608581543,66.57010650634766,65.622314453125,45.249149322509766,46.919883728027344,80.01062774658203,101.98381805419922
2019-03-11,48.54164505004883,44.294952392578125,23.486148834228516,66.31913757324219,68.61154174804688,46.083194732666016,47.441673278808594,82.32856750488281,104.04400634765625
2019-03-18,47.80973815917969,44.325897216796875,22.462533950805664,65.76384735107422,69.14442443847656,46.657554626464844,48.03990936279297,81.40451049804688,105.40904235839844
2019-03-25,48.839317321777344,44.13714599609375,22.790515899658203,67.63897705078125,69.78570556640625,47.530052185058594,47.7770881652832,82.41957092285156,107.4668197631836
2019-04-01,50.88089370727539,45.59989547729492,23.579458236694336,69.4239273071289,71.59637451171875,47.08956527709961,47.7195930480957,82.64418029785156,110.93104553222656
2019-04-08,51.14488983154297,46.26049041748047,24.058134078979492,69.6673355102539,72.43568420410156,47.606292724609375,47.80995178222656,80.67686462402344,111.68620300292969
2019-04-15,50.88089370727539,46.383174896240234,24.235422134399414,70.59586334228516,73.3881607055664,48.17384338378906,47.05430603027344,77.18244171142578,112.58291625976562
2019-04-22,50.22090530395508,47.90253448486328,24.554546356201172,69.88368225097656,74.08602142333984,48.267024993896484,47.7195930480957,79.95821380615234,113.90445709228516
2019-04-29,49.868900299072266,47.2702522277832,24.882524490356445,70.67700958251953,74.35005950927734,48.63127899169922,47.88386154174805,80.99126434326172,113.36640930175781
2019-05-06,48.52252197265625,46.34542465209961,24.359521865844727,68.75682067871094,71.841552734375,48.54656219482422,47.60459518432617,79.86839294433594,110.71395111083984
2019-05-13,48.09133529663086,46.241615295410156,23.827655792236328,67.44964599609375,71.08710479736328,48.919273376464844,48.278099060058594,79.44619750976562,109.41134643554688
